_record_id,_title,_server_updated_at,_updated_by,_geometry,_latitude,_longitude,site_id,act_codes,access_id,site_name,site_label,site_address,site_description,hours_info,open_close_date,fee,public_transit,public_transit_description,url_public,site_manager,phone_site_manager,email_site_manager,accessibility_description,safety,use_limits,program_yn,program_name,program_description,program_url,program_contact,amenities_description,bike_path_accessible,restrooms,changing_station,food,drinking_water,walking_trails,equipment_rental,boat_launch_yn,parking,parking_descripton,wheelchair_access_restrooms,wheelchair_access_trails,swim_yn,fish_yn,hpbl_yn,mpbl_yn,boat_cleaning_requirements,site_name_photo_01,site_name_photo_02,site_name_photo_03,photo_credits,owner,owner_type,water_quality_monitoring,typology,lat,long,near_cso,cso_label
f9c218cb-2aa3-4086-ac9c-e3cf540ff1a1,"Lenape Park, 130 Kenilworth Blvd, Cranford, NJ 07016",2024-04-18 17:39:07 UTC,Sara Eichner,SRID=4326;POINT(-74.31581385 40.67548647),40.67548647,-74.31581385,900167,FISH,,Lenape Park,,"130 Kenilworth Blvd, Cranford, NJ 07016","A 450-acre wildlife reserve and park that is part of the Rahway River Parkway, a 950 acre system of parks connected by woodlands that run along Rahway River in Union County, New Jersey.  Rahway River Parkway is one of America's first and oldest surviving Greenways designed by the Frederick Law Olmsted's Firm that also designed Central Park. There are walking trails and access to the Rahway River for fishing.",,,,,,https://ucnj.org/wp-content/uploads/2014/06/Lenape.pdf,,,,,,,,,,,,,,,,,,Y,,,Y,,,,N,Y,,N,,,,,,,,,,40.67548647,-74.31581385,,
451f71d5-4ca9-4e4b-a2ea-1102d6ed16cf,"Nomahegan Park, 995 Springfield Ave, Cranford, NJ 07016",2024-04-18 17:39:07 UTC,Sara Eichner,SRID=4326;POINT(-74.31296748 40.6699721),40.6699721,-74.31296748,900166,FISH,,Nomahegan Park,,"995 Springfield Ave, Cranford, NJ 07016","A 36-acre park that is part of the Rahway River Parkway, a 950-acre system of parks connected by woodlands that run along Rahway River in Union County, New Jersey.  Rahway River Parkway is one of America's first and oldest surviving Greenways designed by the Frederick Law Olmsted's Firm that also designed Central Park. There are walking trails, small lakes, and access to the Rahway River for fishing.",,,,,,https://exploreunioncounty.com/places/new-jersey/cranford/parks-1/nomahegan-park/,,,,,,,,,,,,,,,,,,Y,,,,,,,N,Y,,,,,,,,,,,,40.6699721,-74.31296748,,
445c50ae-3d97-4ec4-82e2-55e55d24f472,Rahway River Park - Clark Linden Section,2024-04-18 17:39:07 UTC,Sara Eichner,SRID=4326;POINT(-74.2976629 40.62769081),40.62769081,-74.2976629,900165,"FISH,HPBL",,Rahway River Park - Clark Linden Section,,,"Part of the Rahway River Parkway, a 950 acre system of parks connected by woodlands that run along Rahway River in Union County, New Jersey.  It is one of America's first and oldest surviving Greenways designed by the Frederick Law Olmsted's Firm that also designed Central Park.",,,N,,,https://ucnj.org/wp-content/uploads/2021/12/Rahway-River-Park-Clark-Linden-Section.pdf,,,,,,,,,,,,,,,,,,,,Y,,,,,N,Y,N,,,,,,,,,,,40.62769081,-74.2976629,0,
2efb9a69-b9c8-47a0-acc6-8d32cde0326d,Rahway River Park,2024-04-18 17:39:07 UTC,Sara Eichner,SRID=4326;POINT(-74.28572683 40.62112255),40.62112255,-74.28572683,900164,FISH,,Rahway River Park,,,"Part of the Rahway River Parkway, a 950 acre system of parks connected by woodlands that run along Rahway River in Union County, New Jersey.  It is one of America's first and oldest surviving Greenways designed by the Frederick Law Olmsted's Firm that also designed Central Park.",,,N,,,,,,,,,,,,,,,,,Y,,,Y,Y,,,Y,,,,N,Y,,,,,,,,,,,,40.62112255,-74.28572683,,
9cd9f12e-4e3f-4f7e-a428-5897c521d3eb,Rahway River Park - Church St,2024-04-18 17:39:07 UTC,Sara Eichner,SRID=4326;POINT(-74.27956813 40.61841843),40.61841843,-74.27956813,900163,FISH,,Rahway River Park - Church St,,,"Part of the Rahway River Parkway, a 950 acre system of parks connected by woodlands that run along Rahway River in Union County, New Jersey.  It is one of America's first and oldest surviving Greenways designed by the Frederick Law Olmsted's Firm that also designed Central Park.",,,,,,,,,,,,,,,,,,,Y,,,,,Y,,,Y,,,Y,N,Y,N,N,,,,,,,,,,40.61841843,-74.27956813,,
0defb51e-5d23-4f8f-9205-f62e15eab99e,Rahway River Park - Whitier,2024-04-18 17:39:06 UTC,Sara Eichner,SRID=4326;POINT(-74.27606258 40.61675245),40.61675245,-74.27606258,900162,FISH,,Rahway River Park - Whitier,,,"Part of the Rahway River Parkway, a 950 acre system of parks connected by woodlands that run along Rahway River in Union County, New Jersey.  It is one of America's first and oldest surviving Greenways designed by the Frederick Law Olmsted's Firm that also designed Central Park.",,,,,,,,,,,,,,,,,,,Y,,,,,Y,,,Y,,,Y,N,Y,N,N,,,,,,,,,,40.61675245,-74.27606258,,
e976a273-466b-4801-a55e-139f0ffaa131,"Riverfront Park,  City of Rahway, Lawrence St",2024-04-18 17:39:06 UTC,Sara Eichner,SRID=4326;POINT(-74.26774435 40.599821),40.599821,-74.26774435,900161,FISH,,"Riverfront Park,  City of Rahway",,Lawrence St,,,,N,,,,,,,Paved walkway along the river,,,,,,,,,,N,,N,N,Y,,,,,,,N,Y,N,N,,,,,,,,,,40.599821,-74.26774435,,
7b0245f3-dfd0-427d-bf2f-b807de05b1b5,"Rahway Yacht Club, 1706 Paterson Street
Rahway,  NJ 07065",2024-04-18 17:39:06 UTC,Sara Eichner,SRID=4326;POINT(-74.26348434 40.60373486),40.60373486,-74.26348434,900160,"HPBL,MPBL",,Rahway Yacht Club,,"1706 Paterson Street
Rahway,  NJ 07065","The Rahway Yacht Club was established in 1904, and has been a fixture in the City of Rahway for over 100 years. Located on the Rahway River the club provides anchorage for numerous boats, as well as a boat ramp for use by our members.",,,Y,,,https://rahwayyachtclub.yolasite.com/,,732-574-8594,,,,,,,,,,,,,,,,N,,Y,,,,,N,N,Y,Y,,,,,,,,,,40.60373486,-74.26348434,0,
48de7837-c85e-40d9-a022-be84d3c3d0b8,"Bayside Marina, 28-05 Cross Island Pkwy, Queens, NY 11360",2024-04-18 17:39:06 UTC,Sara Eichner,SRID=4326;POINT(-73.76701004 40.77978803),40.77978803,-73.76701004,900158,MPBL,,Bayside Marina,,"28-05 Cross Island Pkwy, Queens, NY 11360",,,May 1 to October 31,Y,N,,http://www.baysidemarinany.com/,,,,,,,,,,,,,,Y,,Y,Y,,Y,Y,,,,,N,Y,,Y,,,,,,,,,,40.77978803,-73.76701004,,
86602225-fb48-4e80-a02d-4d8c9d07a9ed,"Dyckman Marina, 348 Dyckman St, New York, NY 10034",2024-04-18 17:39:06 UTC,Sara Eichner,SRID=4326;POINT(-73.93245676 40.86863875),40.86863875,-73.93245676,900157,MPBL,,Dyckman Marina,,"348 Dyckman St, New York, NY 10034","Dyckman Marina is a public marina located in Inwood Hill Park in Manhattan, New York City. It is operated by the NYC Parks Department and offers mooring, docking, and launching facilities for boats up to 50 feet long. The marina is located on the Hudson River and offers stunning views of the George Washington Bridge and the Palisades. ",,"Summer Dockage: May - October, Winter Dockage: November - April",Y,,"Subway: A, Bus: M100",https://www.nycgovparks.org/facilities/marinas/11,Dyckman Marina,(212) 304-0183,dyckmanmarina@parks.nyc.gov,"Entrance to Dyckman Marina is wheelchair accessible. Half of the site is paved, then the ground changes to sand in front of the Hudson River Sailing Association building.",,,Y,Hudson River Community Sailing - Inwood,"Hudson River Community Sailing (HRCS) is a non-profit youth development and community sailing organization with locations in Chelsea and Inwood. We develop leadership and academic success in underserved New York City youth through partnerships with public schools, and our diverse and vibrant community sailing center provides maritime education and recreation to the city at large. Core to our work is the belief that everyone can learn to sail, and that sailing provides a unique opportunity for growth and discovery.",https://hudsonsailing.org/,,,Y,Y,N,Y,Y,N,Y,Y,Y,,N,N,N,N,N,Y,,dyckmanmarina_01.jpg,dyckmanmarina_02.jpg,dyckmanmarina_03.jpg,Alyssa Bement,NYC Parks,city_park,https://www.riverkeeper.org/water-quality/hudson-river/nyc-hudson-bergen/dyckman-st-beach/,Dock,40.86863875,-73.93245676,,
12fbea3c-6539-4d07-bcf5-60d6882933c3,"Peter Jay Sharp Boathouse, 3579 Harlem River Dr, New York, NY 10034",2024-04-18 17:39:06 UTC,Sara Eichner,SRID=4326;POINT(-73.92169098 40.85651735),40.85651735,-73.92169098,900156,HPBL,,Peter Jay Sharp Boathouse,,"3579 Harlem River Dr, New York, NY 10034","The Peter Jay Sharp Boathouse is one of three locations that ROW New York host their on-water programming. This boathouse was made possible by the Peter Jay Sharp Foundation, as well as the New York Restoration Project. ",7:00 am - 1:00 pm,,Y,Y,Subway: 1 to Dyckman Street,https://rownewyork.org/peter-jay-sharp-dock/,ROW New York,718-433-3075,info@rownewyork.org,,Must be affiliated with ROW NY; this is not a publicly accessible boat launch. ,,Y,ROW NY,"ROW NY provides youth, adult, and community rowing programs. Through the discipline of rowing and rigorous academic support, Row New York transforms the lives of New Yorkers, regardless of background or ability.",https://rownewyork.org/programs/,,Amenities accessible at Sherman Creek Parks,Y,Y,,N,Y,N,,Y,Y,,,,N,N,Y,N,,peterjaysharpboathouse_01.jpg,peterjaysharpboathouse_02.jpg,peterjaysharpboathouse_03.jpg,Alyssa Bement,New York Restoration Project,"city_park,non_profit",https://www.riverkeeper.org/water-quality/hudson-river/nyc-hudson-bergen/harlem-river-washington-bridge/,Pier,40.85651735,-73.92169098,,
0a18d470-a251-4373-a2f8-748b67b8a1fc,"Seaway Marina, 7246 Thursby Ave, Queens, NY 11692",2024-04-18 17:39:06 UTC,Sara Eichner,SRID=4326;POINT(-73.80278922 40.59486059),40.59486059,-73.80278922,900155,MPBL,,Seaway Marina,Thursby Ave Marina,"7246 Thursby Ave, Queens, NY 11692",,,,Y,Y,"Subway: A, Bus: Q22 ",https://www.facebook.com/SeawayMarineCorp/,Seaway Marina,(718) 474-0443,ftwactionsports@gmail.com,,,,Y,Forever Two Worlds,"The Forever Two Worlds Fishing Vessel, located in Rockaway Beach, NY, is the perfect boat for all fishing excursions. The price of the fishing charter includes all bait and tackle. I will Captain the boat for every trip and will always be available to assist all passengers throughout the charter. Charters can be booked daily for either half day trips or night fishing trips. I welcome all groups (up to six people) whether you are experts, beginners or children. Half day trips are six hours. During inshore trips there are several species of fish we will target according to the season, such as Striped Bass, Blues and Fluke. ",https://www.forevertwoworldscharters.com/charters,,,N,,,,,N,,N,Y,,,,N,N,N,Y,,seawaymarine_01.jpg,seawaymarine_02.jpg,seawaymarine_03.jpg,Alyssa Bement,Seaway Marina,privately_owned,,Dock,40.59486059,-73.80278922,,
654a181c-6d0e-4861-b239-9999067ead83,"Bay View at Bayfield Ave, 799-701 Beach 69th St, Queens, NY 11692",2024-04-18 17:39:05 UTC,Sara Eichner,SRID=4326;POINT(-73.79878074 40.59918261),40.59918261,-73.79878074,900154,FISH,,Bay View at Bayfield Ave,,"799-701 Beach 69th St, Queens, NY 11692","Located at the end of Beach 69th Street in the Arverne neighborhood, this site offers intimate fishing access to Jamaica Bay. This street end was made publicly accessible by the Rockaway Bay Coastal Association. ",Dawn to Dusk,,N,N,,,"Deborah Star Reed, Chair & Founder",347-463-1557,RockBayCoast@gmail.com,,"There is a lot of debris near the beach, be careful when entering. ",https://www.dec.ny.gov/outdoor/7894.html,N,,,,,,N,N,N,N,N,N,N,N,Y,,,N,N,Y,N,N,,bayview_01.jpg,bayview_02.jpg,,Alyssa Bement,Rockaway Bay Coastal Association,non_profit,,Street End,40.59918261,-73.79878074,,
bfbeab65-c1f4-4580-9535-0da067a36e7e,"St Croix by the Sea, Bayfield Ave and Beach 65th St, Queens, NY 11692",2024-04-18 17:39:05 UTC,Sara Eichner,SRID=4326;POINT(-73.79523472 40.5992816),40.5992816,-73.79523472,900153,FISH,,St Croix by the Sea,,"Bayfield Ave and Beach 65th St, Queens, NY 11692","St Croix by the Sea is a community-based waterfront hub for fishing alongside Dubos Point Wildlife Sanctuary. This site has fishing equipment, a waterfront garden, and an outdoor kitchen for preparing and cooking the fish. ",,,N,N,,,,,,,,,N,,,,,"Herb garden, outdoor kitchen ",N,N,N,Y,Y,N,Y,N,N,,,N,N,Y,N,N,,stcroixbythesea_01.jpg,stcroixbythesea_02.jpg,,Alyssa Bement,,,,Beach,40.5992816,-73.79523472,,
