site_id,program_contact,site_name,ferry_landing
60687,,Minneford Marina,
535897,,Moby's Lobster Deck & Marina,
546069,,Mohawk Ave,
506441,,Molly Pitcher Inn Oyster Point Marina,
509383,,Monmouth Beach,
509384,,Monmouth Beach,
510527,,Monmouth Beach,
546773,,Monmouth Blvd,
528073,,Monmouth Blvd & Patten Ave,
647272,,Monmouth Cove Marina,
355041,,Monroe St & River Dr,
425424,,Moonachie Ave,
454203,,Morgan Marina,
457205,,Morgan Marina,
595898,,Morningside Ave,
327062,,Morris Canal Park,
183,,Mt Loretto Natural Area,
599986,,Municipal Open Space,
227,,Muscota Marsh,
504259,,Navesink Ave & Black Point Horseshoe Rd,
509036,,Navesink Marina,
517927,,Navesink River Rd,
505430,Navesink River Rowing,Navesink River Rowing,
503632,,Navesink River Rowing,
368826,,New Bridge Rd,
381612,,New Bridge Rd,
12319,,New Wave Pier,E 34th Street
10454,,New York Skyport Marina,Stuyvesant Cove
598408,Newark Riverfront Revival,Newark Riverfront Park,
598936,,Newark Riverfront Park,
599103,,Newark Riverfront Park,
320191,,Newport Yacht Club & Marina,
179,,Newtown Creek Nature Walk,
900166,,Nomahegan Park,
79502,,North 5th St Pier & Park,
76659,pbeckwith@gmail.com,North Brooklyn Community Boathouse,
158178,,North Channel Bridge,Rockaway
1356,,North Cove Marina,Battery Park City
506094,,North Prospect Ave & River Rd,
159452,,Norton Basin Natural Resource Area,
4313409,,Nutley Boat Ramp,
225649,,Nyack Beach State Park,
226522,,Nyack Memorial Park,
596901,,Oak Lane Park,
500907,,Ocean Ave,
503047,,Ocean Ave,
503511,,Ocean Ave & Between Grand Point Way & Riverview Pl,
510365,,Ocean Ave & Central Rd,
510402,,Ocean Ave & Cottage Rd,
503060,,Ocean Ave & Via Ripa Way,
599819,,Ocean Place Promenade,
514916,,Oceanic Brg & Navesink River Rd,
547464,,Oceanport Landing,
503330,,Oceanview Marina,
595323,,"Old Bridge Waterfront Park, Pauls Beach",
202805,,Old Mill Yacht Club,
211675,,Old Place Creek,
600770,,Old Warf Park,
68243,,ONE°15 Brooklyn Marina,Atlantic Ave/BBP Pier 6
501722,,Osborne Pl & Ocean Ave,
646661,,Oscawana Island Park,
646671,,Oscawana Island Park,
646212,,Ossining Westerly Marina,
647264,"Bergen County Rowing Center, Hackensack Riverkeeper, East River CREW",Overpeck County Park,
501769,,Oyster Bay Dr,
506309,,Oyster Point Hotel Marina,
597230,,Pacers Field,
13,contact@sebagocanoeclub.org,Paerdegat Basin Park,
397692,,Page Ave & Riverside Ave,
647381,,Palisades Interstate Park,
274225,,Palisades Medical Center,
147662,,Paradise Marina and Yacht Club,
228358,,Parelli Park,
425061,,Park Ave & Riverside Ave,
424835,,Parkway,
356343,,Passaic St & River Dr,
561453,,Passaic St & River Dr,
392694,,Paterson Ave,
395283,,Paterson Plank Rd,
224188,,Patsys Bay Marina,
527320,,Patten Ave,
509975,,Patten Ave & Lori Rd,
527020,,Patten Point Yacht Club,
645068,,Pearl St,
645440,,Peekskill Landing,
22,NYC Urban Park Rangers,Pelham Bay Park (Orchard Beach Lagoon),
501921,,Peninsula Ave & Ocean Ave,
600086,,Pennington Park,
597026,,Perth Amboy Harborside Waterfront Park,
900156,info@rownewyork.org,Peter Jay Sharp Boathouse,
307012,,Phillip St,
163215,,Pier 1 at Staten Island Ferry,St. George
302180,info@resilienceadventures.org,"Pier 13, Hoboken 14th St Pier",
1474,,Pier 25 Marina,Battery Park City
1474,,Pier 25 Marina,Battery Park City
900147,,Pier 44 Waterfront Garden,
227653,Paradise Canoe and Kayak,Piermont Pier,
646310,,Pierson Park,
444376,,Pirates Cove Marina,
598671,,Pleasantview Terrace & Railroad Ave,
547229,,Pleasure Bay Yacht Basin,
93,,Plumb Beach at Jamaica Bay,
546258,,Pocano Ave & Comanche Dr,
597336,,Pocket Park,
531980,,Point Comfort Marina,
200030,,Port Atlantic Marina,
332551,,Port Imperial Blvd,
286050,,Port Imperial Marina,
600357,,Port Monmouth Rd,
75,,Powell's Cove Park,
648884,"NYC Urban Park Rangers, Lemon Creek Boatmen's Association",Prince's Point,
503245,,Public River Access,
79,,Pugsley Creek Park,Soundview/Classon Point
361834,,Pulaski Pl & S River St,
80,,Queensbridge Park,Roosevelt Island
637676,,Rahway Ave,
641392,,Rahway Ave,
446805,,Rahway Ave & East Green St,
900164,,Rahway River Park,
605439,,Rahway River Park - Bezega Park,
900163,,Rahway River Park - Church St,
900165,,Rahway River Park - Clark Linden Section,
609809,,Rahway River Park - Grand Ave,
900162,,Rahway River Park - Whitier,
900168,,Rahway River Parkway - Cranford,
900160,,Rahway Yacht Club,
12,,Rainey Park,Astoria
32,,Ralph Demarco Park,
18,,Randalls Island Park,
600830,,Raritan Bay Waterfront Park,
451048,,Raritan Beach Blvd,
472433,,Raritan Marina,
497003,,Raritan River Boat Club,
466217,,Raritan Yacht Club,
900143,gita@threadcollective.com,RETI Field Station at Gowanus Bay Terminal,
647875,,Richard A. Rutkowski Park,
216448,,Richmond County Yacht Club,
527335,,Riddle Ave & Patten Ave,
377189,wandaccinfo@gmail.com,Ridgefield Park,
163200,,Riis Landing,
442668,,Rileys Boat Yard,
395845,,River Barge Park,
382389,,River Edge Rd,
417931,,River Edge Rd,
599659,,River Edge Rd,
274738,,River Rd,
408146,,River Rd,
418551,,River Rd,
418604,,River Rd,
418641,,River Rd,
597569,,River Rd,
425644,,River Rd & Baltimore Ave,
405165,,River Rd & Henderson Ave,
425813,,River Rd & Park St,
501985,,River St & Ocean Ave,
502897,,River St & Ocean Ave,
64,,Riverbank State Park,
65672,,Riverdale Waterfront Promenade & Fishing Access,
645600,,Riverfront Green Park,
900161,,"Riverfront Park,  City of Rahway",
425711,,Riverside Ave,
547084,,Riverside Ave,
597810,,Riverside Ave,
598718,,Riverside Ave,
599811,"rowingprograms@prra.org, row@prra.org",Riverside County Park,
599849,,Riverside County Park,
601038,,Riverside County Park,
595135,,Riverside Gardens Park,
1,,Riverside Park,
117,,Riverside Park,
601702,,Riverside Park,
70,,Riverside Park,
460399,,"Riverside Park,  Piscataway",
509609,,Riverview Rd & Rt 36,
597955,,Riverwalk,
254968,,Robbins Reef Yacht Club,
147,stc212@gmail.com,Roberto Clemente State Park,
81,,Rockaways Beach and Boardwalk,Rockaway
82,,Rockaways Community Park,
520751,,Roop Ave & Burlington Ave,
398936,,Rt 46,
417926,,Rt 46,
502135,,Rumson Municipal Boat Ramp,
503447,,Rumson Rd & Ocean Ave,
505066,,Rumson Rd & Packer ave,
600947,programs@nereidbc.org,Rutherford Waterfront Park,
642385,,S 5th St,
641354,,S Broad St,
361216,,S River St & Water St,
601166,,Saddle River County Park,
463946,,Sadowski Waterfront Park,
595366,,Sadowski Waterfront Park,
595827,,Sadowski Waterfront Park,
596379,,Sadowski Waterfront Park,
596631,,Sadowski Waterfront Park,
598864,,Sadowski Waterfront Park,
599581,,Sadowski Waterfront Park,
649186,sandyhookkayaks@gmail.com,Sandy Hook,
537178,,Sandy Hook Bay Marina,
541869,,Sandy Hook Bay Marina,
541247,,"Sandy Hook, Gateway National Recreation Area",
598469,,Sawmill Creek Wildlife Management Area,
535370,,Schupps Landing,
500269,,Sea Bright Beach,
520719,,Sea Land Marina,
235,,Sea Shore Restaurant,
107463,,Sea Travelers Marina,
536788,,Sea Venture Marina,
276344,,Seacaucus Greenway,
276901,,Seacaucus Greenway,
510089,,Seacrest Rd & Seaview Ave,
175,,Seaside Wildlife Nature Park,
546660,,Seawaneka Ave & Pocano Ave,
900155,,Seaway Marina,
603075,,Second Street Park,
597308,,Seidlers Beach,
597571,,Seidlers Beach,
645832,,Senasqua Park,
599845,,Sesselman Park,
529032,,Seven Bridges Rd,
529308,,Seven Bridges Rd,
526829,,Seven Presidents Oceanfront Park,
155,,Sheepshead Bay Piers,
123384,,Sheepshead Bay Yacht Club,
27889,,Sherman Creek,
128,,Sherman Creek Park,
119,,Sherman Creek Street End Parks,
122855,,Shipshead Bay Marina,
649119,,Shirley Chisholm State Park,
599328,,Shore Promenade,
600389,,Shore Promenade,
546575,,Shore Rd,
161,,Shore Road Park,"BAT/Sunset Park, Bay Ridge"
509844,,Shrewsbury Dr & North Rd,
501767,,Shrewsbury Dr & Oyster Bay Dr,
540260,,Shrewsbury River Yacht Club,
546174,,Shrewsbury Sailing & Yacht Club,
503269,,Shrewsbury Way & Ocean Ave,
601308,,Sinatra Park,
60308,,Sinatra Park,
164009,,Skyline Cove Marina,
642275,,Slater Dr,
599725,,Sommers Point,
148,,Soundview Park,Soundview/Classon Point
596725,,South Bay Area Beach,
449786,,South River Boat Club,
626947,,South St,
95,,Spring Creek Park,
900153,,St Croix by the Sea,
189,,Stapleton Waterfront Park,
425073,,Starke Rd,
149,,Starlight Park,
499699,,State St & St Johns Ave,
646287,,Steamboat Waterfront Park,
595580,,Steuben House Historic Site,
648256,,Steven R Gregg Park,
531288,,Stone Rd,
647126,,Stony Point Battlefield State Historic Site,
224145,,Stony Point Park,
56,,Stuyvesant Cove Park,Stuyvesant Cove
638585,,Summer St,
142429,,Sunsations Marina,
503173,,Surfside Marina,
268505,,Sussex St,
601597,,Swimming River Greenway,
228367,,Tappan Zee Marina,
646347,,Tarrytown Marina,
547075,,The Marina at Oceanport,
503105,,The Quay Restaurant & Marina,
160624,,Thursby Basin Park (Anticipated),
84,,Tiffany Street Pier,
221656,,Tottenville Marina,
337324,,Tower Dr & River Rd,
222620,,Town of Haverstraw Canoe & Kayak Launch,
530294,,Trade Winds Marina,
643472,,Trenton Ave,
276822,,"Trolley Park, Seacaucus Greenway",
475479,,Tunison Ln & Edgebrook Rd,
536133,,Twin Lights Marina,
416254,,Union Ave,
562248,,Union Ave,
600817,,Union Beach,
359782,,University Circle,
360215,,University Plaza Dr,
224192,,USA Marina,
509052,,Valentine St & Riverdale Ave,
403696,,Valley Brook Ave,
536419,,Valley St & 5th St,
647853,,Van Buskirk Island,
598253,,Van Winkle Park,
355593,,Vanwinkle Ave & River Dr,
425921,,Vela Way & River Rd,
123852,,Venice Marina,
594894,,Vesper Ave & Crampton Ave,
597327,,Veterans Field Park,
600078,,Veterans Memorial Park,
594992,,Veterans Park,
359817,,Veterans Way & W Main Street,
464130,,Victory Bridge Park,
601497,,Victory Park,
473266,,Vikings Marina,
224974,,Vincent A. Clark Park,
203300,,W 10th-W 18th St at Broad Channel,
255273,,W 21St S,
257913,,W 22nd St,
542911,,W Front St,
601783,,Wagaraw Field,
542910,,Wagner's Twin Towers Marina,
130,,Wards Island Park,
310179,,Warren St,
505491,,Washington Ave & Packer Ave,
645527,,Washington Irving Boat Club,
501130,,Washington St & Hunt St,
505969,,Waterman Ave & Warren St,
504298,,Waterway & Buttonwood Ln,
595466,,Waterwitch Beach,
600598,,Watson Ave & Port Reading Ave,
547469,,Werah Pl & Smith St,
418284,,West Fort Lee Rd & Court St,
419445,,West Fort Lee Rd & Court St,
191,,West Harlem Piers Park,
601498,,West Park,
597188,,Westside Park,
509061,,Wharfside Manor Marina,
512214,,William St & Port Monmouth Rd,
146594,,Williamsburgh Yacht Club,
609762,,Witherspoon St & E Hazelwood St street end,
94,,WNYC Transmitter Park,Greenpoint
34,,Wolfe's Pond Park,
445983,,Woodbridge Ave,
601488,,Woodbridge River Park,
444924,,Woodbridge Township Marina,
900151,,World's Fair Marina,
49130,,Wright Island Marina,
311776,,Yacht Club at Port Liberte,
645610,,Yonkers Corinthian Yacht Club,
645755,,Yonkers Yacht Club,
456460,,Zubacks Marine,
